prompt,a,b,solution,carry_u,carry_d,completion,prediction,correct,bin
"4699+2192=6891
2715+333=3048
4554+4574=9128
12+8=",12,8,20,True,False,"4699+2192=6891
2715+333=3048
4554+4574=9128
12+8=20
1",20,True,"[0, 100)"
"1410+2623=4033
222+2348=2570
3782+4055=7837
10+10=",10,10,20,False,False,"1410+2623=4033
222+2348=2570
3782+4055=7837
10+10=20
1",20,True,"[0, 100)"
"4107+4520=8627
1161+3121=4282
872+1313=2185
13+8=",13,8,21,True,False,"4107+4520=8627
1161+3121=4282
872+1313=2185
13+8=21
1",21,True,"[0, 100)"
"4988+3269=8257
2747+2991=5738
305+3076=3381
14+7=",14,7,21,True,False,"4988+3269=8257
2747+2991=5738
305+3076=3381
14+7=21
1",21,True,"[0, 100)"
"3969+1156=5125
1389+1776=3165
4544+2878=7422
0+22=",0,22,22,False,False,"3969+1156=5125
1389+1776=3165
4544+2878=7422
0+22=22
1",22,True,"[0, 100)"
"2272+3063=5335
4042+2509=6551
4130+3232=7362
14+8=",14,8,22,True,False,"2272+3063=5335
4042+2509=6551
4130+3232=7362
14+8=22
1",22,True,"[0, 100)"
"2255+4040=6295
4126+3893=8019
592+34=626
19+4=",19,4,23,True,False,"2255+4040=6295
4126+3893=8019
592+34=626
19+4=23
1",23,True,"[0, 100)"
"1225+1713=2938
2607+2368=4975
1955+4417=6372
20+3=",20,3,23,False,False,"1225+1713=2938
2607+2368=4975
1955+4417=6372
20+3=23
2",23,True,"[0, 100)"
"2778+648=3426
2454+3960=6414
3536+1774=5310
17+7=",17,7,24,True,False,"2778+648=3426
2454+3960=6414
3536+1774=5310
17+7=24
2",24,True,"[0, 100)"
"1161+4374=5535
2091+3991=6082
431+3873=4304
19+5=",19,5,24,True,False,"1161+4374=5535
2091+3991=6082
431+3873=4304
19+5=24
1",24,True,"[0, 100)"
"198+2803=3001
4737+835=5572
1444+3604=5048
18+7=",18,7,25,True,False,"198+2803=3001
4737+835=5572
1444+3604=5048
18+7=25
1",25,True,"[0, 100)"
"165+400=565
1192+1553=2745
3980+1599=5579
15+10=",15,10,25,False,False,"165+400=565
1192+1553=2745
3980+1599=5579
15+10=25
1",25,True,"[0, 100)"
"437+3686=4123
3370+4135=7505
2383+10=2393
14+12=",14,12,26,False,False,"437+3686=4123
3370+4135=7505
2383+10=2393
14+12=26
1",26,True,"[0, 100)"
"3283+931=4214
2902+402=3304
3859+1626=5485
9+17=",9,17,26,True,False,"3283+931=4214
2902+402=3304
3859+1626=5485
9+17=26
1",26,True,"[0, 100)"
"624+3665=4289
888+4021=4909
1851+4483=6334
3+24=",3,24,27,False,False,"624+3665=4289
888+4021=4909
1851+4483=6334
3+24=27
1",27,True,"[0, 100)"
"6+193=199
2418+1660=4078
3631+2469=6100
1+26=",1,26,27,False,False,"6+193=199
2418+1660=4078
3631+2469=6100
1+26=27
1",27,True,"[0, 100)"
"2817+3186=6003
3432+3051=6483
4262+4135=8397
9+19=",9,19,28,True,False,"2817+3186=6003
3432+3051=6483
4262+4135=8397
9+19=28
2",28,True,"[0, 100)"
"4158+796=4954
243+2962=3205
178+662=840
4+24=",4,24,28,False,False,"4158+796=4954
243+2962=3205
178+662=840
4+24=28
1",28,True,"[0, 100)"
"2844+4183=7027
3156+4048=7204
4740+2066=6806
14+15=",14,15,29,False,False,"2844+4183=7027
3156+4048=7204
4740+2066=6806
14+15=29
2",29,True,"[0, 100)"
"92+2741=2833
3377+632=4009
4356+959=5315
10+19=",10,19,29,False,False,"92+2741=2833
3377+632=4009
4356+959=5315
10+19=29
2",29,True,"[0, 100)"
"2445+4550=6995
4589+3614=8203
1707+2185=3892
21+9=",21,9,30,True,False,"2445+4550=6995
4589+3614=8203
1707+2185=3892
21+9=30
1",30,True,"[0, 100)"
"2712+3613=6325
1080+948=2028
2875+3327=6202
28+2=",28,2,30,True,False,"2712+3613=6325
1080+948=2028
2875+3327=6202
28+2=30
2",30,True,"[0, 100)"
"3314+3871=7185
2508+4368=6876
936+2319=3255
4+27=",4,27,31,True,False,"3314+3871=7185
2508+4368=6876
936+2319=3255
4+27=28
1",28,False,"[0, 100)"
"3797+2122=5919
3853+1123=4976
2824+3161=5985
11+20=",11,20,31,False,False,"3797+2122=5919
3853+1123=4976
2824+3161=5985
11+20=31
2",31,True,"[0, 100)"
"4826+4909=9735
2255+1727=3982
2690+3236=5926
26+6=",26,6,32,True,False,"4826+4909=9735
2255+1727=3982
2690+3236=5926
26+6=32
2",32,True,"[0, 100)"
"1624+442=2066
313+3486=3799
569+2390=2959
9+23=",9,23,32,True,False,"1624+442=2066
313+3486=3799
569+2390=2959
9+23=32
1",32,True,"[0, 100)"
"1870+1889=3759
3064+3851=6915
3131+1762=4893
14+19=",14,19,33,True,False,"1870+1889=3759
3064+3851=6915
3131+1762=4893
14+19=33
1",33,True,"[0, 100)"
"3132+1099=4231
1003+1318=2321
3713+2876=6589
15+18=",15,18,33,True,False,"3132+1099=4231
1003+1318=2321
3713+2876=6589
15+18=33
1",33,True,"[0, 100)"
"1765+126=1891
1406+3567=4973
1433+2910=4343
2+32=",2,32,34,False,False,"1765+126=1891
1406+3567=4973
1433+2910=4343
2+32=34
1",34,True,"[0, 100)"
"3859+2806=6665
1050+1602=2652
1029+2438=3467
21+13=",21,13,34,False,False,"3859+2806=6665
1050+1602=2652
1029+2438=3467
21+13=34
1",34,True,"[0, 100)"
"4946+374=5320
2401+4278=6679
2209+4641=6850
31+4=",31,4,35,False,False,"4946+374=5320
2401+4278=6679
2209+4641=6850
31+4=35
2",35,True,"[0, 100)"
"3477+3885=7362
832+1266=2098
1081+4752=5833
25+10=",25,10,35,False,False,"3477+3885=7362
832+1266=2098
1081+4752=5833
25+10=35
1",35,True,"[0, 100)"
"2141+206=2347
4476+2048=6524
1506+1658=3164
25+11=",25,11,36,False,False,"2141+206=2347
4476+2048=6524
1506+1658=3164
25+11=36
1",36,True,"[0, 100)"
"4299+2147=6446
816+4099=4915
1087+625=1712
15+21=",15,21,36,False,False,"4299+2147=6446
816+4099=4915
1087+625=1712
15+21=36
1",36,True,"[0, 100)"
"3135+892=4027
3430+1249=4679
649+4482=5131
22+15=",22,15,37,False,False,"3135+892=4027
3430+1249=4679
649+4482=5131
22+15=37
1",37,True,"[0, 100)"
"244+992=1236
2144+3126=5270
2171+2556=4727
5+32=",5,32,37,False,False,"244+992=1236
2144+3126=5270
2171+2556=4727
5+32=37
2",37,True,"[0, 100)"
"3495+640=4135
4470+4694=9164
944+2756=3700
18+20=",18,20,38,False,False,"3495+640=4135
4470+4694=9164
944+2756=3700
18+20=38
1",38,True,"[0, 100)"
"2066+3545=5611
475+700=1175
761+2803=3564
37+1=",37,1,38,False,False,"2066+3545=5611
475+700=1175
761+2803=3564
37+1=38
1",38,True,"[0, 100)"
"3964+4751=8715
3306+2233=5539
3101+1358=4459
19+20=",19,20,39,False,False,"3964+4751=8715
3306+2233=5539
3101+1358=4459
19+20=39
1",39,True,"[0, 100)"
"3761+1736=5497
2953+618=3571
625+468=1093
11+28=",11,28,39,False,False,"3761+1736=5497
2953+618=3571
625+468=1093
11+28=39
1",39,True,"[0, 100)"
"762+2573=3335
810+3636=4446
294+85=379
2+38=",2,38,40,True,False,"762+2573=3335
810+3636=4446
294+85=379
2+38=40
4",40,True,"[0, 100)"
"4204+2141=6345
443+1190=1633
4320+3254=7574
7+33=",7,33,40,True,False,"4204+2141=6345
443+1190=1633
4320+3254=7574
7+33=34
4",34,False,"[0, 100)"
"2422+2572=4994
1594+1579=3173
3325+919=4244
5+36=",5,36,41,True,False,"2422+2572=4994
1594+1579=3173
3325+919=4244
5+36=37
1",37,False,"[0, 100)"
"1736+2871=4607
328+4679=5007
4054+2119=6173
10+31=",10,31,41,False,False,"1736+2871=4607
328+4679=5007
4054+2119=6173
10+31=41
1",41,True,"[0, 100)"
"3148+1856=5004
92+3112=3204
3882+3572=7454
4+38=",4,38,42,True,False,"3148+1856=5004
92+3112=3204
3882+3572=7454
4+38=42
3",42,True,"[0, 100)"
"556+4904=5460
2827+3891=6718
127+929=1056
11+31=",11,31,42,False,False,"556+4904=5460
2827+3891=6718
127+929=1056
11+31=42
1",42,True,"[0, 100)"
"4788+3103=7891
2698+2190=4888
2697+1411=4108
37+6=",37,6,43,True,False,"4788+3103=7891
2698+2190=4888
2697+1411=4108
37+6=43
4",43,True,"[0, 100)"
"1668+1831=3499
2683+4472=7155
2367+2994=5361
37+6=",37,6,43,True,False,"1668+1831=3499
2683+4472=7155
2367+2994=5361
37+6=43
1",43,True,"[0, 100)"
"3389+604=3993
2917+3160=6077
2288+1090=3378
30+14=",30,14,44,False,False,"3389+604=3993
2917+3160=6077
2288+1090=3378
30+14=44
1",44,True,"[0, 100)"
"174+1099=1273
4032+1854=5886
571+4273=4844
17+27=",17,27,44,True,False,"174+1099=1273
4032+1854=5886
571+4273=4844
17+27=44
1",44,True,"[0, 100)"
"3633+4261=7894
4810+1658=6468
4701+2866=7567
25+20=",25,20,45,False,False,"3633+4261=7894
4810+1658=6468
4701+2866=7567
25+20=45
2",45,True,"[0, 100)"
"4412+1836=6248
1855+1814=3669
1302+3306=4608
29+16=",29,16,45,True,False,"4412+1836=6248
1855+1814=3669
1302+3306=4608
29+16=45
1",45,True,"[0, 100)"
"2753+2669=5422
883+2354=3237
3889+3274=7163
29+17=",29,17,46,True,False,"2753+2669=5422
883+2354=3237
3889+3274=7163
29+17=46
1",46,True,"[0, 100)"
"4435+2398=6833
1783+283=2066
597+848=1445
26+20=",26,20,46,False,False,"4435+2398=6833
1783+283=2066
597+848=1445
26+20=46
1",46,True,"[0, 100)"
"3274+3273=6547
1480+313=1793
1796+4118=5914
5+42=",5,42,47,False,False,"3274+3273=6547
1480+313=1793
1796+4118=5914
5+42=47
4",47,True,"[0, 100)"
"1575+4902=6477
1503+1841=3344
3899+1959=5858
11+36=",11,36,47,False,False,"1575+4902=6477
1503+1841=3344
3899+1959=5858
11+36=47
1",47,True,"[0, 100)"
"4872+1210=6082
1600+3667=5267
573+1023=1596
24+24=",24,24,48,False,False,"4872+1210=6082
1600+3667=5267
573+1023=1596
24+24=48
1",48,True,"[0, 100)"
"1031+1497=2528
930+992=1922
3462+1075=4537
44+4=",44,4,48,False,False,"1031+1497=2528
930+992=1922
3462+1075=4537
44+4=48
1",48,True,"[0, 100)"
"4775+3602=8377
4003+4269=8272
3745+2520=6265
16+33=",16,33,49,False,False,"4775+3602=8377
4003+4269=8272
3745+2520=6265
16+33=49
1",49,True,"[0, 100)"
"2181+2511=4692
121+4643=4764
1947+2556=4503
0+49=",0,49,49,False,False,"2181+2511=4692
121+4643=4764
1947+2556=4503
0+49=49
1",49,True,"[0, 100)"
"3546+954=4500
1663+2371=4034
705+1002=1707
31+19=",31,19,50,True,False,"3546+954=4500
1663+2371=4034
705+1002=1707
31+19=50
1",50,True,"[0, 100)"
"1821+231=2052
4281+509=4790
1192+2524=3716
22+28=",22,28,50,True,False,"1821+231=2052
4281+509=4790
1192+2524=3716
22+28=50
1",50,True,"[0, 100)"
"869+2516=3385
1881+2060=3941
3580+3322=6902
29+22=",29,22,51,True,False,"869+2516=3385
1881+2060=3941
3580+3322=6902
29+22=51
1",51,True,"[0, 100)"
"4466+3974=8440
3581+2049=5630
3846+993=4839
30+21=",30,21,51,False,False,"4466+3974=8440
3581+2049=5630
3846+993=4839
30+21=51
2",51,True,"[0, 100)"
"4373+2227=6600
2971+2842=5813
4816+3763=8579
47+5=",47,5,52,True,False,"4373+2227=6600
2971+2842=5813
4816+3763=8579
47+5=52
5",52,True,"[0, 100)"
"125+2137=2262
2517+2394=4911
922+133=1055
8+44=",8,44,52,True,False,"125+2137=2262
2517+2394=4911
922+133=1055
8+44=52
1",52,True,"[0, 100)"
"545+3147=3692
4600+3758=8358
2585+514=3099
35+18=",35,18,53,True,False,"545+3147=3692
4600+3758=8358
2585+514=3099
35+18=53
1",53,True,"[0, 100)"
"2269+3767=6036
1437+972=2409
533+1445=1978
27+26=",27,26,53,True,False,"2269+3767=6036
1437+972=2409
533+1445=1978
27+26=53
1",53,True,"[0, 100)"
"19+2736=2755
4172+1408=5580
4926+3625=8551
4+50=",4,50,54,False,False,"19+2736=2755
4172+1408=5580
4926+3625=8551
4+50=54
5",54,True,"[0, 100)"
"3741+1015=4756
4451+1925=6376
2547+1482=4029
35+19=",35,19,54,True,False,"3741+1015=4756
4451+1925=6376
2547+1482=4029
35+19=54
1",54,True,"[0, 100)"
"3591+4329=7920
4556+353=4909
638+3821=4459
32+23=",32,23,55,False,False,"3591+4329=7920
4556+353=4909
638+3821=4459
32+23=55
4",55,True,"[0, 100)"
"4454+3631=8085
85+1230=1315
4402+694=5096
25+30=",25,30,55,False,False,"4454+3631=8085
85+1230=1315
4402+694=5096
25+30=55
1",55,True,"[0, 100)"
"1283+673=1956
2693+4464=7157
2320+746=3066
53+3=",53,3,56,False,False,"1283+673=1956
2693+4464=7157
2320+746=3066
53+3=56
1",56,True,"[0, 100)"
"3169+4647=7816
4095+291=4386
4164+3573=7737
15+41=",15,41,56,False,False,"3169+4647=7816
4095+291=4386
4164+3573=7737
15+41=56
1",56,True,"[0, 100)"
"1749+3435=5184
4211+3892=8103
720+1375=2095
24+33=",24,33,57,False,False,"1749+3435=5184
4211+3892=8103
720+1375=2095
24+33=57
1",57,True,"[0, 100)"
"4822+1087=5909
3822+3383=7205
2149+2668=4817
48+9=",48,9,57,True,False,"4822+1087=5909
3822+3383=7205
2149+2668=4817
48+9=57
5",57,True,"[0, 100)"
"3423+4223=7646
561+2897=3458
1895+2228=4123
15+43=",15,43,58,False,False,"3423+4223=7646
561+2897=3458
1895+2228=4123
15+43=58
1",58,True,"[0, 100)"
"3543+1290=4833
1268+941=2209
4415+3820=8235
43+15=",43,15,58,False,False,"3543+1290=4833
1268+941=2209
4415+3820=8235
43+15=58
1",58,True,"[0, 100)"
"237+1221=1458
4674+39=4713
1664+1484=3148
11+48=",11,48,59,False,False,"237+1221=1458
4674+39=4713
1664+1484=3148
11+48=59
1",59,True,"[0, 100)"
"1921+1865=3786
3435+4837=8272
4061+1443=5504
33+26=",33,26,59,False,False,"1921+1865=3786
3435+4837=8272
4061+1443=5504
33+26=59
1",59,True,"[0, 100)"
"1983+2024=4007
2031+3417=5448
3509+3258=6767
59+1=",59,1,60,True,False,"1983+2024=4007
2031+3417=5448
3509+3258=6767
59+1=60
6",60,True,"[0, 100)"
"357+1086=1443
2897+2711=5608
4486+363=4849
29+31=",29,31,60,True,False,"357+1086=1443
2897+2711=5608
4486+363=4849
29+31=50
1",50,False,"[0, 100)"
"1253+3160=4413
1511+466=1977
399+1569=1968
28+33=",28,33,61,True,False,"1253+3160=4413
1511+466=1977
399+1569=1968
28+33=51
1",51,False,"[0, 100)"
"3615+3414=7029
4865+4643=9508
1762+2436=4198
29+32=",29,32,61,True,False,"3615+3414=7029
4865+4643=9508
1762+2436=4198
29+32=51
3",51,False,"[0, 100)"
"4253+1399=5652
2424+306=2730
766+1292=2058
39+23=",39,23,62,True,False,"4253+1399=5652
2424+306=2730
766+1292=2058
39+23=62
1",62,True,"[0, 100)"
"1620+4214=5834
1635+4302=5937
3924+884=4808
38+24=",38,24,62,True,False,"1620+4214=5834
1635+4302=5937
3924+884=4808
38+24=62
3",62,True,"[0, 100)"
"4876+220=5096
3615+2515=6130
2788+2895=5683
50+13=",50,13,63,False,False,"4876+220=5096
3615+2515=6130
2788+2895=5683
50+13=63
1",63,True,"[0, 100)"
"3449+3742=7191
374+26=400
1022+3454=4476
32+31=",32,31,63,False,False,"3449+3742=7191
374+26=400
1022+3454=4476
32+31=63
1",63,True,"[0, 100)"
"3389+76=3465
1580+1017=2597
3469+2760=6229
28+36=",28,36,64,True,False,"3389+76=3465
1580+1017=2597
3469+2760=6229
28+36=64
1",64,True,"[0, 100)"
"454+1020=1474
567+1663=2230
3995+1197=5192
31+33=",31,33,64,False,False,"454+1020=1474
567+1663=2230
3995+1197=5192
31+33=64
1",64,True,"[0, 100)"
"4811+1172=5983
2048+2187=4235
281+905=1186
59+6=",59,6,65,True,False,"4811+1172=5983
2048+2187=4235
281+905=1186
59+6=65
1",65,True,"[0, 100)"
"3706+4725=8431
568+3584=4152
269+2913=3182
8+57=",8,57,65,True,False,"3706+4725=8431
568+3584=4152
269+2913=3182
8+57=65
1",65,True,"[0, 100)"
"3084+3249=6333
1288+3288=4576
3063+3885=6948
57+9=",57,9,66,True,False,"3084+3249=6333
1288+3288=4576
3063+3885=6948
57+9=66
1",66,True,"[0, 100)"
"630+1695=2325
3686+2256=5942
2743+4443=7186
55+11=",55,11,66,False,False,"630+1695=2325
3686+2256=5942
2743+4443=7186
55+11=66
1",66,True,"[0, 100)"
"3846+4312=8158
927+3856=4783
4974+2761=7735
42+25=",42,25,67,False,False,"3846+4312=8158
927+3856=4783
4974+2761=7735
42+25=67
1",67,True,"[0, 100)"
"988+3802=4790
1468+3073=4541
4046+4404=8450
5+62=",5,62,67,False,False,"988+3802=4790
1468+3073=4541
4046+4404=8450
5+62=67
1",67,True,"[0, 100)"
"2945+3847=6792
2052+565=2617
2023+3856=5879
21+47=",21,47,68,False,False,"2945+3847=6792
2052+565=2617
2023+3856=5879
21+47=68
2",68,True,"[0, 100)"
"1770+2110=3880
2954+2183=5137
4692+4992=9684
56+12=",56,12,68,False,False,"1770+2110=3880
2954+2183=5137
4692+4992=9684
56+12=68
1",68,True,"[0, 100)"
"860+1539=2399
938+467=1405
2581+3506=6087
2+67=",2,67,69,False,False,"860+1539=2399
938+467=1405
2581+3506=6087
2+67=69
1",69,True,"[0, 100)"
"4221+3415=7636
4241+1885=6126
3192+1698=4890
23+46=",23,46,69,False,False,"4221+3415=7636
4241+1885=6126
3192+1698=4890
23+46=69
4",69,True,"[0, 100)"
"2146+769=2915
686+2765=3451
2615+2454=5069
45+25=",45,25,70,True,False,"2146+769=2915
686+2765=3451
2615+2454=5069
45+25=70
2",70,True,"[0, 100)"
"1224+346=1570
4717+1631=6348
1512+4432=5944
9+61=",9,61,70,True,False,"1224+346=1570
4717+1631=6348
1512+4432=5944
9+61=60
1",60,False,"[0, 100)"
"1487+3645=5132
3052+4232=7284
3073+200=3273
9+62=",9,62,71,True,False,"1487+3645=5132
3052+4232=7284
3073+200=3273
9+62=71
1",71,True,"[0, 100)"
"1241+1071=2312
2063+907=2970
2478+2019=4497
57+14=",57,14,71,True,False,"1241+1071=2312
2063+907=2970
2478+2019=4497
57+14=71
1",71,True,"[0, 100)"
"4924+4744=9668
867+1273=2140
2015+3638=5653
46+26=",46,26,72,True,False,"4924+4744=9668
867+1273=2140
2015+3638=5653
46+26=72
1",72,True,"[0, 100)"
"3189+4087=7276
3610+1834=5444
4645+1300=5945
60+12=",60,12,72,False,False,"3189+4087=7276
3610+1834=5444
4645+1300=5945
60+12=72
1",72,True,"[0, 100)"
"4667+113=4780
4067+4050=8117
3406+4270=7676
41+32=",41,32,73,False,False,"4667+113=4780
4067+4050=8117
3406+4270=7676
41+32=73
4",73,True,"[0, 100)"
"2462+901=3363
3593+712=4305
4109+4332=8441
34+39=",34,39,73,True,False,"2462+901=3363
3593+712=4305
4109+4332=8441
34+39=73
4",73,True,"[0, 100)"
"4427+314=4741
1015+2597=3612
740+2316=3056
39+35=",39,35,74,True,False,"4427+314=4741
1015+2597=3612
740+2316=3056
39+35=74
1",74,True,"[0, 100)"
"3956+2260=6216
393+1911=2304
3640+1034=4674
51+23=",51,23,74,False,False,"3956+2260=6216
393+1911=2304
3640+1034=4674
51+23=74
3",74,True,"[0, 100)"
"4170+4133=8303
744+4683=5427
2299+4960=7259
69+6=",69,6,75,True,False,"4170+4133=8303
744+4683=5427
2299+4960=7259
69+6=75
1",75,True,"[0, 100)"
"296+3582=3878
4701+1870=6571
4376+2841=7217
31+44=",31,44,75,False,False,"296+3582=3878
4701+1870=6571
4376+2841=7217
31+44=75
1",75,True,"[0, 100)"
"2717+4521=7238
4765+1167=5932
1309+3697=5006
3+73=",3,73,76,False,False,"2717+4521=7238
4765+1167=5932
1309+3697=5006
3+73=76
1",76,True,"[0, 100)"
"2826+1618=4444
4033+1014=5047
4633+226=4859
51+25=",51,25,76,False,False,"2826+1618=4444
4033+1014=5047
4633+226=4859
51+25=76
5",76,True,"[0, 100)"
"1416+1579=2995
3438+3704=7142
4971+4680=9651
44+33=",44,33,77,False,False,"1416+1579=2995
3438+3704=7142
4971+4680=9651
44+33=77
1",77,True,"[0, 100)"
